TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
31-07-2025,31-07-2025,CM,NSE,STK,23462,INE0DEZ01013,K2INFRA,ST,,,,,K2 INFRAGEN LIMITED,61.9,65.5,61.5,65.5,65.5,62.4,,65.5,,,43200,2775660,49,F1,600,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,1805,INE900B01029,KABRAEXTRU,EQ,,,,,KABRA EXTRUSION TECHNIK L,287.4,289.5,277.4,286.2,283.8,287.8,,286.15,,,12570,3594668.2,739,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,29192,INE0XOW01017,KKJEWELS,SM,,,,,KABRA JEWELS LIMITED,108,108,104,105.7,105.1,108,,105.7,,,33000,3505150,33,F1,1000,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,1808,INE217B01036,KAJARIACER,EQ,,,,,KAJARIA CERAMICS LTD,1165,1194.1,1151,1177,1179.9,1169,,1177,,,5426576,6398511741,61839,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,1811,INE437B01014,KAKATCEM,EQ,,,,,KAKATIYA CEM SUGAR &IND L,159.24,160,157.01,158.96,158.01,159.85,,158.97,,,2533,401549.9,137,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,25443,INE0T0L01014,KALANA,SM,,,,,KALANA ISPAT LIMITED,37.55,43.5,36.6,43.05,43,37.55,,43.05,,,146000,6080100,30,F1,2000,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,758558,INE227J01012,KALPATARU,EQ,,,,,KALPATARU LIMITED,397.05,405,394.3,396.65,399,402.3,,396.65,,,86509,34612151.1,5915,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,1814,INE220B01022,KPIL,EQ,,,,,KALPATARU PROJECT INT LTD,1106,1157.5,1105.7,1147.4,1147.9,1123.9,,1147.4,,,417284,475962837.8,46079,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,2955,INE303R01014,KALYANKJIL,EQ,,,,,KALYAN JEWELLERS IND LTD,590.5,603.65,590.5,594.7,592.7,606.65,,594.7,,,3726886,2220711060,53945,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,15156,INE314G01014,KALYANIFRG,EQ,,,,,KALYANI FORGE LIMITED,730,730,695.75,705.3,705,732.35,,704.75,,,1420,1005821.1,277,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,21119,INE029L01018,KICL,EQ,,,,,KALYANI INVEST CO LTD,4793,4837.5,4750,4789,4750.5,4854.5,,4790,,,2263,10873456,594,F1,1,,,,,
