priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,perChange30d,date365dAgo,date30dAgo,chartTodayPath,chart30dPath,chart365dPath,Index
"0","ASIANPAINT","ASIANPAINTEQN","2184","2224.5","2153.3","2220.5","2121.3","99.2","4.68","1001258985739.84","2985.7","2115","1561016","0","3429442880.88","","25.628830759955786","-4.988179669030733","-4.39","-7.98","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/ASIANPAINTEQN.svg","https://nsearchives.nseindia.com/30d/ASIANPAINT-EQ.svg","https://nsearchives.nseindia.com/365d/ASIANPAINT-EQ.svg","NIFTY 50"
"0","TRENT","TRENTEQN","3450.1","3451","3341.1","3380","3356.7","23.3","0.69","747825214340.96","6261","3340.3","898547","0","3039290300.15","","46.01501357610606","-1.1885160015567409","-33.13","-14.02","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/TRENTEQN.svg","https://nsearchives.nseindia.com/30d/TRENT-EQ.svg","https://nsearchives.nseindia.com/365d/TRENT-EQ.svg","NIFTY 50"
"0","HINDALCO","HINDALCOEQN","849","864.5","843.5","852","840.25","11.75","1.4","1229231415922.59","1029.8","546.45","3526970","0","3015488810.6","","17.265488444358127","-55.91545429590995","21.45","-7.68","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/HINDALCOEQN.svg","https://nsearchives.nseindia.com/30d/HINDALCO-EQ.svg","https://nsearchives.nseindia.com/365d/HINDALCO-EQ.svg","NIFTY 50"
"0","BAJAJFINSV","BAJAJFINSVEQN","1710","1714","1671.4","1711","1675.5","35.5","2.12","977311352809.33","2195","1662.7","1775627","0","3014748301.95","","22.050113895216402","-2.904913694593129","-9.67","-16.26","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/BAJAJFINSVEQN.svg","https://nsearchives.nseindia.com/30d/BAJAJFINSV-EQ.svg","https://nsearchives.nseindia.com/365d/BAJAJFINSV-EQ.svg","NIFTY 50"
"0","TMPV","TMPVEQN","312.95","314.2","305.5","310.95","305.25","5.7","1.87","648414183176.48","744","303.5","8524890","0","2641692913.2","","58.20564516129032","-2.454695222405268","-56.42","-17.64","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/TMPVEQN.svg","https://nsearchives.nseindia.com/30d/TMPV-EQ.svg","https://nsearchives.nseindia.com/365d/TMPV-EQ.svg","NIFTY 50"
"0","SBILIFE","SBILIFEEQN","1842","1866.5","1812.2","1836","1832.3","3.7","0.2","822037155496.63","2132","1430.55","1403010","0","2579237463.6","","13.883677298311445","-28.342245989304818","16.96","-11.85","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/SBILIFEEQN.svg","https://nsearchives.nseindia.com/30d/SBILIFE-EQ.svg","https://nsearchives.nseindia.com/365d/SBILIFE-EQ.svg","NIFTY 50"
"0","MAXHEALTH","MAXHEALTHEQN","967","983.1","963.4","966.5","956.9","9.6","1","717012167631.3","1314.3","933.8","2455952","0","2387701093.92","","26.462755839610434","-3.5018205183122775","-15.68","-11.04","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/MAXHEALTHEQN.svg","https://nsearchives.nseindia.com/30d/MAXHEALTH-EQ.svg","https://nsearchives.nseindia.com/365d/MAXHEALTH-EQ.svg","NIFTY 50"
"0","WIPRO","WIPROEQN","191.5","191.5","187.8","188.94","187.54","1.4","0.75","538035301163.1","274.7","187","11843191","0","2241916056.3","","31.219512195121954","-1.0374331550802127","-29.87","-5.6","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/WIPROEQN.svg","https://nsearchives.nseindia.com/30d/WIPRO-EQ.svg","https://nsearchives.nseindia.com/365d/WIPRO-EQ.svg","NIFTY 50"
"0","HDFCLIFE","HDFCLIFEEQN","597","607.65","590.05","603.5","592.1","11.4","1.93","646809157132.22","820.75","590.05","3644510","0","2191298082.6","","26.46969235455376","-2.2794678417083376","-11.24","-17.86","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/HDFCLIFEEQN.svg","https://nsearchives.nseindia.com/30d/HDFCLIFE-EQ.svg","https://nsearchives.nseindia.com/365d/HDFCLIFE-EQ.svg","NIFTY 50"
"0","TATACONSUM","TATACONSUMEQN","1030.9","1059.5","1022.8","1055","1023.6","31.4","3.07","685015087653.23","1220.9","952.5","1423695","0","1490053423.95","","13.588336473093625","-10.761154855643044","8.71","-10.44","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/TATACONSUMEQN.svg","https://nsearchives.nseindia.com/30d/TATACONSUM-EQ.svg","https://nsearchives.nseindia.com/365d/TATACONSUM-EQ.svg","NIFTY 50"
